unique_reads	ambig_reads	total_reads
0	1	1
0	0	0
0	1	1
0	1	1
0	149	149
0	150	150
0	154	154
0	153	153
0	147	147
0	154	154
0	154	154
0	154	154
0	148	148
0	151	151
0	78	78
0	56	56
0	4	4
0	1	1
0	1	1
0	5	5
0	1	1
0	1	1
0	2	2
0	1	1
0	1	1
0	0	0
0	1	1
0	1	1
0	1	1
1	2	3
0	2	2
0	0	0
0	0	0
0	0	0
0	2	2
0	0	0
0	0	0
0	15	15
0	15	15
11	50	61
0	5	5
0	24	24
0	4	4
0	49	49
0	7	7
0	0	0
0	0	0
0	0	0
0	0	0
3	4079	4082
7	10414	10421
2	46992	46994
0	60	60
28	40296	40324
1	4096	4097
24	29689	29713
2	2834	2836
0	0	0
0	0	0
0	2	2
0	2	2
0	0	0
0	21	21
0	1	1
0	4	4
0	2	2
0	3	3
0	3	3
0	2	2
0	3	3
0	21	21
0	3	3
0	3	3
0	1	1
0	1	1
0	3	3
0	8	8
0	3	3
0	2	2
0	3	3
0	6	6
1	3	4
0	3	3
0	3	3
0	3	3
0	3	3
0	3	3
0	1	1
0	2	2
0	15	15
0	2	2
0	2	2
0	2	2
0	0	0
0	22	22
0	11	11
0	0	0
0	170	170
0	19	19
0	4	4
0	5	5
0	14	14
0	4	4
0	5	5
0	4	4
0	4	4
0	4	4
0	7	7
0	169	169
0	3	3
0	1	1
0	1	1
0	1	1
0	0	0
0	117	117
0	52	52
0	14	14
0	16	16
0	0	0
0	61	61
0	15	15
2	4	6
0	20	20
0	9	9
0	141	141
0	143	143
0	118	118
1	10	11
0	3	3
0	71	71
0	34	34
0	2	2
4	121	125
3	4	7
1	113	114
0	658	658
0	3	3
0	133	133
0	115	115
0	120	120
0	78	78
0	3	3
1	109	110
0	29	29
0	38	38
0	36	36
0	17	17
0	133	133
0	132	132
0	91	91
0	25	25
0	131	131
0	134	134
0	0	0
0	33	33
0	99	99
0	64	64
0	20	20
0	17	17
0	134	134
0	101	101
0	76	76
0	18	18
0	123	123
0	2	2
0	2	2
0	122	122
0	65	65
0	119	119
0	0	0
0	25	25
0	65	65
0	25	25
0	119	119
0	64	64
0	34	34
0	2	2
0	104	104
0	661	661
0	2	2
0	115	115
0	0	0
0	84	84
0	2	2
0	2	2
0	117	117
0	1	1
0	14	14
0	46	46
0	92	92
0	1	1
0	2	2
0	93	93
0	0	0
0	1	1
0	9	9
0	9	9
0	0	0
0	16	16
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	15	15
1	22	23
1	1	2
0	35	35
0	34	34
0	1	1
0	3	3
0	2	2
0	1	1
0	2	2
0	2	2
0	3	3
0	2	2
0	2	2
0	3	3
0	2	2
0	3	3
0	4	4
0	2	2
0	2	2
0	2	2
0	4	4
0	4	4
0	3	3
0	2	2
0	2	2
0	3	3
0	2	2
0	2	2
0	2	2
0	2	2
0	2	2
0	2	2
0	2	2
0	5	5
0	0	0
0	0	0
0	0	0
0	7	7
0	6	6
0	2	2
0	1	1
0	1	1
0	7	7
2	2	4
0	1	1
0	4	4
0	1	1
0	7	7
0	8	8
0	6	6
0	7	7
0	6	6
0	1	1
0	5	5
0	1	1
0	4	4
0	2	2
0	2	2
0	2	2
0	7	7
0	12	12
0	10	10
0	9	9
0	7	7
0	8	8
0	1	1
0	6	6
0	3	3
0	7	7
0	1	1
0	4	4
0	4	4
0	6	6
0	7	7
7	2	9
0	2	2
0	1	1
0	2	2
0	4	4
0	0	0
0	0	0
0	0	0
0	4	4
4	4	8
0	3	3
0	0	0
0	6	6
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	204	204
0	210	210
0	0	0
0	206	206
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	215	215
0	9	9
0	0	0
0	0	0
0	0	0
0	0	0
42	1088	1130
1	310	311
10	1014	1024
0	0	0
0	82	82
70	41	111
23	0	23
0	0	0
0	0	0
0	0	0
8	11	19
0	8	8
0	7	7
0	0	0
0	0	0
0	3	3
0	3	3
0	3	3
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	2	2
0	1457	1457
0	249	249
28	1457	1485
0	0	0
0	26	26
0	2	2
0	1757	1757
0	1756	1756
0	1753	1753
0	1754	1754
0	0	0
0	2	2
0	0	0
0	0	0
0	3	3
0	1736	1736
0	1653	1653
0	46	46
0	4	4
0	26	26
0	46	46
0	46	46
0	46	46
0	31	31
0	43	43
0	45	45
0	43	43
0	46	46
0	56	56
0	47	47
0	54	54
0	8	8
0	52	52
0	47	47
0	7	7
0	54	54
0	54	54
0	24	24
0	39	39
0	5	5
0	40	40
0	8	8
0	51	51
0	53	53
1	35	36
0	42	42
0	43	43
0	52	52
0	51	51
0	54	54
0	21	21
0	52	52
0	43	43
0	48	48
0	53	53
0	18	18
0	35	35
0	16	16
0	34	34
0	8	8
0	35	35
0	5	5
0	40	40
0	8	8
0	4	4
0	27	27
0	4	4
0	20	20
0	9	9
0	2	2
0	3	3
0	16	16
0	0	0
0	0	0
0	0	0
1	6	7
0	7	7
6	6	12
0	6	6
0	7	7
0	6	6
0	1	1
0	4	4
0	4	4
0	3	3
0	0	0
0	0	0
0	0	0
0	1	1
0	87	87
0	81	81
0	81	81
0	86	86
4	54	58
0	86	86
1	79	80
0	0	0
0	8	8
0	1	1
0	0	0
0	1	1
0	1	1
0	5	5
0	5	5
0	1	1
0	0	0
0	0	0
0	5	5
2	12	14
0	6	6
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	1	1
0	4	4
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	3	3
14	9	23
0	3	3
0	3	3
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	309	309
0	311	311
0	309	309
0	279	279
0	251	251
0	0	0
0	11	11
207	800	1007
0	7	7
0	6	6
19	9	28
0	0	0
0	0	0
0	19	19
0	1181	1181
0	1177	1177
0	1182	1182
0	268	268
0	529	529
0	23	23
0	102	102
0	2	2
0	55	55
0	36	36
0	14	14
0	13	13
0	24	24
0	33	33
0	33	33
0	0	0
0	19	19
0	26	26
0	26	26
0	0	0
0	0	0
0	1	1
0	0	0
0	13	13
0	0	0
0	13	13
0	13	13
0	0	0
0	13	13
0	0	0
0	0	0
0	39	39
0	41	41
0	19	19
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
1	2	3
0	0	0
1	11	12
0	0	0
0	0	0
0	0	0
639	82	721
0	11	11
0	4	4
0	23	23
0	4	4
1	58	59
0	43	43
0	282	282
0	1107	1107
0	1117	1117
0	496	496
0	141	141
2	1062	1064
0	1119	1119
0	478	478
6	361	367
0	258	258
0	368	368
0	1113	1113
0	902	902
0	329	329
0	876	876
0	902	902
0	4	4
0	1	1
0	1	1
0	85	85
0	1	1
0	3	3
0	3	3
0	3	3
0	2	2
0	30	30
0	1	1
0	0	0
0	30	30
0	23	23
0	14	14
0	18	18
0	30	30
0	30	30
0	9	9
0	16	16
0	4	4
0	210	210
0	198	198
11	145	156
0	36	36
0	29	29
0	20	20
0	18	18
0	21	21
0	18	18
0	4	4
0	7	7
0	9	9
0	0	0
0	0	0
0	2	2
35	29	64
0	0	0
0	0	0
0	98	98
0	101	101
0	1	1
0	0	0
0	1	1
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	239	239
0	264	264
0	265	265
0	245	245
0	264	264
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
71	5144	5215
1	5093	5094
18	4910	4928
3	5142	5145
0	23	23
0	18	18
0	0	0
0	216	216
27	336	363
0	169	169
11	128	139
97	471	568
0	220	220
0	369	369
0	264	264
0	9	9
0	66	66
0	1	1
0	2	2
0	4	4
0	8	8
0	88	88
0	1	1
0	18	18
0	0	0
0	1	1
0	675	675
0	643	643
0	684	684
0	691	691
0	597	597
0	683	683
0	640	640
0	616	616
0	315	315
0	619	619
0	645	645
0	0	0
0	659	659
0	634	634
0	567	567
0	571	571
0	525	525
0	345	345
4962	1144	6106
0	564	564
15	1058	1073
5	48	53
2	514	516
0	320	320
0	0	0
0	1	1
16	147	163
0	20	20
0	19	19
0	21	21
0	0	0
0	0	0
0	0	0
3	3	6
1	14	15
0	20	20
0	41	41
0	32	32
0	23	23
0	20	20
0	16	16
0	18	18
0	18	18
0	17	17
0	28	28
0	18	18
0	31	31
0	18	18
0	18	18
0	30	30
0	36	36
0	18	18
0	29	29
0	15	15
0	17	17
0	37	37
0	17	17
0	28	28
0	15	15
0	17	17
0	15	15
0	35	35
0	28	28
0	11	11
0	10	10
0	31	31
0	11	11
0	11	11
0	29	29
0	11	11
0	22	22
0	34	34
0	29	29
0	29	29
0	2	2
0	23	23
0	1	1
0	0	0
0	0	0
0	101	101
1	118	119
0	0	0
4	41	45
0	1	1
0	7	7
1	163	164
0	137	137
2	152	154
0	0	0
5	95	100
2	75	77
0	16	16
0	20	20
0	20	20
2	18	20
0	15	15
0	15	15
0	3	3
0	134	134
0	88	88
0	131	131
0	98	98
1	119	120
0	1	1
0	0	0
0	4	4
32	0	32
27	0	27
2	0	2
822	340	1162
3	281	284
0	59	59
378	65	443
0	2	2
18	6	24
0	0	0
77	2	79
7	13	20
1	13	14
5	0	5
68	4	72
0	137	137
0	142	142
0	141	141
0	141	141
0	141	141
0	141	141
0	140	140
5	29	34
0	2	2
0	101	101
0	1	1
0	62	62
0	29	29
4	23	27
0	0	0
0	136	136
0	1	1
0	0	0
0	136	136
0	91	91
0	0	0
0	0	0
0	135	135
0	0	0
0	0	0
0	0	0
0	0	0
0	2	2
0	2	2
1	134	135
0	55	55
0	36	36
0	1	1
0	26	26
0	8	8
0	27	27
0	23	23
0	7	7
0	8	8
0	11	11
0	2	2
5	7	12
0	2481	2481
0	2413	2413
0	2312	2312
0	2018	2018
0	1808	1808
0	686	686
1	680	681
0	686	686
0	1712	1712
0	77	77
0	91	91
0	82	82
0	1	1
0	145	145
6	503	509
0	504	504
1	22	23
16	81	97
0	2	2
0	2	2
0	27	27
0	27	27
0	27	27
0	20	20
0	1	1
0	32	32
0	27	27
0	26	26
0	27	27
0	29	29
0	27	27
0	1	1
0	0	0
0	26	26
0	23	23
0	25	25
0	9	9
0	9	9
0	21	21
0	21	21
0	22	22
0	21	21
0	20	20
0	9	9
0	9	9
0	21	21
0	19	19
0	21	21
0	9	9
0	19	19
0	18	18
0	18	18
0	17	17
0	17	17
0	9	9
0	82	82
0	81	81
0	83	83
0	25	25
2	1631	1633
0	890	890
2	65	67
0	299	299
0	962	962
0	1144	1144
0	1356	1356
0	1404	1404
0	1391	1391
0	1374	1374
0	1	1
0	0	0
0	0	0
0	0	0
0	16	16
0	2	2
0	4	4
0	25	25
0	25	25
16	649	665
8	45	53
1	47	48
10	62	72
104	778	882
0	5	5
0	2	2
1	0	1
0	18	18
35	10	45
0	0	0
0	134	134
1	8	9
0	97	97
0	85	85
0	27	27
0	1	1
0	397	397
2	391	393
2	392	394
0	104	104
0	0	0
0	4	4
0	2	2
0	1	1
0	2	2
0	0	0
0	0	0
0	2	2
1	6	7
0	8	8
1	9	10
1	8	9
0	0	0
0	14	14
0	14	14
0	0	0
0	890	890
1	911	912
0	917	917
0	884	884
0	859	859
0	882	882
0	856	856
0	822	822
0	878	878
0	859	859
0	585	585
0	828	828
0	843	843
2	749	751
0	750	750
2	697	699
0	662	662
